Historical Population and Growth Rates in Population for Baseline Countries/Regions  1969-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated: July 2015 based on latest Census Bureau data in the International Data Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, International Data Base (http://www.census.gov/ipc/www/idb/)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   organized into ERS/USDA Baseline countries and regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dr. Kari Heerman (202-694-5250, keheerman@ers.usda.gov)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values in red are from the Census Bureau. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population and Annual Growth Rates (right side of table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,3613400327.00,3688286119.00,3765252925.00,3840872427.00,3915766223.00,3989552203.00,4061330637.00,4131782807.00,4203014663.00,4274135360.00,4347811568.00,4419054562.00,4501372335.00,4580818872.00,4661233076.00,4739530614.00,4820835338.00,4904329224.00,4990385514.00,5077397019.00,5164051066.00,5251796867.00,5334228240.00,5418536317.00,5500149290.00,5579765867.00,5659557027.00,5739091266.00,5816982277.00,5893726217.00,5970122355.00,6046028325.00,6121838537.00,6197859288.00,6273812755.00,6350018003.00,6426502234.00,6503827240.00,6581657298.00,6659821761.00,6738024147.00,6815097686.00,6891767697.00,6969049725.00,7046759089.00,7123495228.00
