,"All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide (GtCO2) per year, multiply the numbers below by 3.664. ",,,,,,,,,,,,
,Note: 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2,,,,,,,,,,,,
,All uncertainties represent ± 1 sigma error (68 % chances of being in the range provided) ,,,,,,,,,,,,
,Emissions from fossil fuel combustion and cement production (uncertainty of ±5% for a ± 1 sigma confidence level):,,,,,,,,,,,,
,,"Cite as: Boden, TA, Marland, G and Andres, RJ 2013. Global, Regional, and National Fossil-Fuel CO2 Emissions, Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tenn., USA doi 10.3334/CDIAC/00001_V2013",,,,,,,,,,,
,,1959-2010 estimates for fossil fuel combustion are from the Carbon Dioxide Information Analysis Center (CDIAC) at Oak Ridge National Laboratory.  http://cdiac.ornl.gov/trends/emis/meth_reg.html,,,,,,,,,,,
,,"2010, 2012 and 2013 estimates are based on energy statistics published by BP (data in red in Column B). http://www.bp.com/sectionbodycopy.do?categoryId=7500&contentId=7068481",,,,,,,,,,,
,,Emissions from cement production were estimated by CDIAC based on cement production data from the US Geological Survey. ,,,,,,,,,,,
,Emissions from land-use change (uncertainty of ±0.5 GtC/yr):,,,,,,,,,,,,
,,"Cite as: Houghton, RA, van der Werf, GR, DeFries, RS, Hansen, MC, House, JI, Le Quéré, C, Pongratz, J and Ramankutty, N 2012. Chapter G2 Carbon emissions from land use and land-cover change, Biogeosciences, 9, 5125-5142. Doi: 10.5194/bgd-9-835-2012    ",,,,,,,,,,,
,,1959-2010 estimates are mainly based on agriculture statistics of the Food and Agriculture Organization,,,,,,,,,,,
,,1997-2013 include interannual variability as captured by satellite-based fire emissions,,,,,,,,,,,
,"The atmospheric CO2 growth rate (variable uncertainty averaging 0.18 GtC/yr during 1980-2011) is estimated directly from atmospheric CO2 concentration measurements, and provided by the US National Oceanic and Atmospheric Administration Earth System Research Laboratory (NOAA/ESRL).  http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html",,,,,,,,,,,,
,,"Cite as: Edward Dlugokencky and Pieter Tans, NOAA/ESRL (www.esrl.noaa.gov/gmd/ccgg/trends/)",,,,,,,,,,,
,,1959-1980 are based on Mauna Loa and South Pole stations as observed by the CO2 Program at Scripps Institution of Oceanography. http://scrippsco2.ucsd.edu/data/atmospheric_co2.html,,,,,,,,,,,
,,1980-2013 are global averages estimated from multiple stations by NOAA/ESRL.,,,,,,,,,,,
,The ocean sink  (uncertainty of ±0.5 GtC/yr) was estimated a combination of global ocean biogeochemistry models. How to cite: Le Quéré et al. 2013 (see Summary) ,,,,,,,,,,,,
,The land sink (uncertainty of ±0.8 GtC/yr on average) was estimated from the residual of the other budget terms: land_sink = fossil_fuel + land_use_change - atm_growth - ocean_sink.  How to cite: Le Quéré et al. 2013 (see Summary) ,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,fossil fuel and cement emissions,land-use change emissions,atmospheric growth,ocean sink,land sink,,,,,,,,
1959,2.45,1.47,2.04,0.84,1.06,,,,,,,,
1960,2.57,1.46,1.51,0.86,1.67,,,,,,,,
1961,2.58,1.53,1.65,0.72,1.74,,,,,,,,
1962,2.69,1.52,1.19,0.78,2.24,,,,,,,,
1963,2.83,1.53,1.21,0.97,2.19,,,,,,,,
1964,3.00,1.52,1.04,1.25,2.23,,,,,,,,
1965,3.13,1.55,2.33,1.48,0.87,,,,,,,,
1966,3.29,1.55,2.33,1.46,1.05,,,,,,,,
1967,3.39,1.59,1.29,1.17,2.52,,,,,,,,
1968,3.57,1.55,2.10,1.18,1.83,,,,,,,,
1969,3.78,1.54,2.80,1.22,1.31,,,,,,,,
1970,4.05,1.53,2.40,1.13,2.06,,,,,,,,
1971,4.21,1.40,1.55,1.27,2.80,,,,,,,,
1972,4.38,1.33,3.12,1.57,1.01,,,,,,,,
1973,4.61,1.32,3.10,1.51,1.33,,,,,,,,
1974,4.62,1.29,1.44,1.45,3.02,,,,,,,,
1975,4.60,1.30,2.61,1.52,1.77,,,,,,,,
1976,4.86,1.32,2.06,1.63,2.50,,,,,,,,
1977,5.03,1.35,4.07,1.72,0.58,,,,,,,,
1978,5.09,1.30,2.73,1.70,1.95,,,,,,,,
1979,5.37,1.25,4.54,1.48,0.61,,,,,,,,
1980,5.32,1.24,3.65,1.82,1.09,,,,,,,,
1981,5.15,1.25,2.44,1.82,2.15,,,,,,,,
1982,5.11,1.26,2.12,1.90,2.35,,,,,,,,
1983,5.09,1.43,3.86,2.11,0.56,,,,,,,,
